timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712853438638,63,Vyber Mesto z comboboxu a zobraz predpoved pocasia,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-3,,true,,21642,519,5,5,null,0,13013,15
1712853451650,63,HTTP Request,200,OK,Testovaci scenar 1-3,text,true,,21642,519,5,5,https://www.shmu.sk/sk/?page=769&nwp_mesto=32537,60,0,15
1712853439886,57,Vyber Mesto z comboboxu a zobraz predpoved pocasia,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-4,,true,,21647,519,5,5,null,0,13013,11
1712853452900,57,HTTP Request,200,OK,Testovaci scenar 1-4,text,true,,21647,519,5,5,https://www.shmu.sk/sk/?page=769&nwp_mesto=32637,53,0,11
1712853441113,64,Vyber Mesto z comboboxu a zobraz predpoved pocasia,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-5,,true,,21634,519,5,5,null,0,13004,11
1712853454116,64,HTTP Request,200,OK,Testovaci scenar 1-5,text,true,,21634,519,5,5,https://www.shmu.sk/sk/?page=769&nwp_mesto=32638,60,0,11
1712853449571,8,Klik na Kontakty,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-1,,true,,10726,537,5,5,null,0,13004,0
1712853462574,8,HTTP Request,200,OK,Testovaci scenar 1-1,text,true,,10726,537,5,5,https://www.shmu.sk/sk/?page=5,8,0,0
1712853450460,7,Klik na Kontakty,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-2,,true,,10726,537,5,5,null,0,13013,0
1712853463471,7,HTTP Request,200,OK,Testovaci scenar 1-2,text,true,,10726,537,5,5,https://www.shmu.sk/sk/?page=5,7,0,0
1712853451714,7,Klik na Kontakty,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-3,,true,,10726,537,5,5,null,0,13009,0
1712853464721,7,HTTP Request,200,OK,Testovaci scenar 1-3,text,true,,10726,537,5,5,https://www.shmu.sk/sk/?page=5,7,0,0
1712853452957,10,Klik na Kontakty,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-4,,true,,10726,537,5,5,null,0,13003,0
1712853465958,10,HTTP Request,200,OK,Testovaci scenar 1-4,text,true,,10726,537,5,5,https://www.shmu.sk/sk/?page=5,10,0,0
1712853454181,8,Klik na Kontakty,200,"Number of samples in transaction : 1, number of failing samples : 0",Testovaci scenar 1-5,,true,,10726,537,5,5,null,0,13010,0
1712853467191,8,HTTP Request,200,OK,Testovaci scenar 1-5,text,true,,10726,537,5,5,https://www.shmu.sk/sk/?page=5,7,0,0
1712853465969,13025,Home page - shmu.sk,200,,Testovaci scenar 1-4,,true,,15081,1113,5,5,null,0,0,0
1712853478975,19,HTTP Request,200,OK,Testovaci scenar 1-4,text,true,,15081,1113,5,5,https://www.shmu.sk/sk/?page=1,7,0,3
1712853478975,7,HTTP Request-0,302,Moved Temporarily,Testovaci scenar 1-4,,true,,131,370,5,5,http://www.shmu.sk/?page=1,7,0,3
1712853478982,6,HTTP Request-1,301,Moved Permanently,Testovaci scenar 1-4,text,true,,319,370,5,5,https://www.shmu.sk/?page=1,6,0,0
1712853478988,6,HTTP Request-2,200,OK,Testovaci scenar 1-4,text,true,,14631,373,5,5,https://www.shmu.sk/sk/?page=1,5,0,0
1712853467199,13049,Home page - shmu.sk,200,,Testovaci scenar 1-5,,true,,15210,1113,4,4,null,0,0,0
1712853480214,34,HTTP Request,200,OK,Testovaci scenar 1-5,text,true,,15210,1113,4,4,https://www.shmu.sk/sk/?page=1,16,0,13
1712853480214,16,HTTP Request-0,302,Moved Temporarily,Testovaci scenar 1-5,,true,,131,370,4,4,http://www.shmu.sk/?page=1,16,0,13
1712853480230,13,HTTP Request-1,301,Moved Permanently,Testovaci scenar 1-5,text,true,,319,370,4,4,https://www.shmu.sk/?page=1,13,0,0
1712853480243,5,HTTP Request-2,200,OK,Testovaci scenar 1-5,text,true,,14760,373,4,4,https://www.shmu.sk/sk/?page=1,5,0,0
1712853462583,34,Home page - shmu.sk,200,"Number of samples in transaction : 2, number of failing samples : 0",Testovaci scenar 1-1,,true,,29939,1584,3,3,null,0,26028,4
1712853475598,27,HTTP Request,200,OK,Testovaci scenar 1-1,text,true,,15179,1113,5,5,https://www.shmu.sk/sk/?page=1,9,0,4
1712853475598,9,HTTP Request-0,302,Moved Temporarily,Testovaci scenar 1-1,,true,,131,370,5,5,http://www.shmu.sk/?page=1,9,0,4
1712853475608,12,HTTP Request-1,301,Moved Permanently,Testovaci scenar 1-1,text,true,,288,370,5,5,https://www.shmu.sk/?page=1,12,0,0
1712853475620,5,HTTP Request-2,200,OK,Testovaci scenar 1-1,text,true,,14760,373,5,5,https://www.shmu.sk/sk/?page=1,5,0,0
1712853488639,7,HTTP Request,200,OK,Testovaci scenar 1-1,text,true,,14760,471,3,3,https://www.shmu.sk/sk/?page=1,7,0,0
1712853488646,0,Vyhladat slovo Tatry,,,Testovaci scenar 1-1,,true,,0,0,3,3,null,0,0,0
1712853463479,31,Home page - shmu.sk,200,"Number of samples in transaction : 2, number of failing samples : 0",Testovaci scenar 1-2,,true,,29960,1584,2,2,null,0,26014,3
